,Task,Core,Start,End,Rank
393,306,0,1553368.483505899,1557776.9355698992,153640.6168624
394,313,0,1557776.9355698992,1565349.3124647993,149232.1647984
395,314,0,1565349.3124647993,1565766.2423521993,141659.7879035
396,315,0,1565766.2423521993,1567643.2110439993,141242.85801609998
397,307,0,1567643.2110439993,1570525.5097582992,139365.8893243
398,308,0,1570525.5097582992,1577347.607422199,136483.59060999998
399,309,0,1577347.607422199,1582468.1909689992,129661.49294609998
400,310,0,1582468.1909689992,1589481.3011171992,124540.90939929998
401,311,0,1589481.3011171992,1595207.7351649993,117527.79925109999
402,312,0,1595207.7351649993,1597314.4768614992,111801.3652033
403,1175,0,1597314.4768614992,1601230.5848380993,109694.6235068
404,1178,0,1601230.5848380993,1604234.8277798994,105778.51553019999
405,1184,0,1604234.8277798994,1610509.0146996994,102774.2725884
406,1187,0,1610509.0146996994,1616779.7316158994,96500.08566859999
407,1181,0,1616779.7316158994,1620332.3821265993,90229.36875239998
408,1183,0,1620332.3821265993,1628037.2057822994,86676.71824169999
409,1186,0,1628037.2057822994,1632251.7815274994,78971.89458599998
410,1177,0,1632251.7815274994,1635331.2910666994,74757.31884079998
411,1180,0,1635331.2910666994,1636547.5649054993,71677.80930159999
412,605,0,1636547.5649054993,1643678.0549458994,71065.4161814
413,1185,0,1643678.0549458994,1644755.5214767994,70461.53546279999
414,987,0,1644755.5214767994,1649987.0655414993,69384.0689319
415,261,0,1649987.0655414993,1655803.9681274993,67202.2497018
416,1043,0,1655803.9681274993,1662303.6733110994,65143.454188
417,989,0,1662303.6733110994,1667093.2368652995,64152.5248672
418,269,0,1667093.2368652995,1672047.2799365995,63204.8855757
419,491,0,1672047.2799365995,1679644.8844417995,62824.028395299996
420,253,0,1679644.8844417995,1680391.3775317995,61385.347115799996
421,592,0,1680391.3775317995,1685951.4664470996,61276.5626496
422,254,0,1685951.4664470996,1689973.1889082997,60638.85402579999
423,1323,0,1689973.1889082997,1696782.6428233997,59612.7496557
424,1046,0,1696782.6428233997,1698832.5155310996,58643.7490044
425,1078,0,1698832.5155310996,1703584.1567378996,58250.842504399996
426,1269,0,1703584.1567378996,1706371.5317976996,58091.6966986
427,1194,0,1706371.5317976996,1711664.0462882996,56751.224119
428,1050,0,1711664.0462882996,1714031.2688291997,56593.8762967
429,593,0,1714031.2688291997,1717151.3601641997,55716.473734299994
430,1270,0,1717151.3601641997,1723688.9839855998,55304.3216388
431,943,0,1723688.9839855998,1727401.9896640999,54537.8210434
432,984,0,1727401.9896640999,1734299.8095636,54226.6537558
433,1373,0,1734299.8095636,1741959.864345,53619.85510100001
434,357,0,1741959.864345,1747092.6746597,53250.464465499994
435,1324,0,1747092.6746597,1753470.3114618,52803.2957406
436,641,0,1753470.3114618,1758414.5192811,51775.6009173
437,595,0,1758414.5192811,1761528.8320758,51237.5920664
438,493,0,1761528.8320758,1764751.2314244001,50840.3245475
439,992,0,1764751.2314244001,1767687.7349165,50466.7323832
440,1333,0,1767687.7349165,1773592.6546898,49191.3592162
441,372,0,1773592.6546898,1780079.5009608,48518.4226422
442,499,0,1780079.5009608,1780590.183375,47617.9251989
443,1004,0,1780590.183375,1782808.7688484,47530.2288911
444,387,0,1782808.7688484,1787049.1261983002,47212.53301189999
445,642,0,1787049.1261983002,1788932.2688434,46831.393098
446,1334,0,1788932.2688434,1794085.3353571,46425.6589385
447,609,0,1794085.3353571,1796228.8403966,45512.9357177
448,946,0,1796228.8403966,1800461.0398565,45346.5961769
449,1086,0,1800461.0398565,1803670.3622251,45065.0288544
450,667,0,1803670.3622251,1805980.6290251,44948.2504529
451,559,0,1805980.6290251,1812860.7623624,44670.8593735
452,1207,0,1812860.7623624,1818530.7478474001,44086.8252613
453,986,0,1818530.7478474001,1825470.3356807001,43805.0070575
454,388,0,1825470.3356807001,1831126.5470563,42972.175661999994
455,1377,0,1831126.5470563,1838368.8884953002,42587.389547900006
456,1150,0,1838368.8884953002,1841415.8993158003,42239.34608690001
