,Task,Core,Start,End,Rank
653,978,3,842062.9089072003,842410.8530768004,19795.5647264
654,1174,3,842410.8530768004,844725.9108960003,20469.6928242
655,607,3,1340617.1997025998,1348572.0901951997,60937.111438199994
656,1153,3,1348572.0901951997,1354250.0155559997,76432.4781007
657,596,3,1351651.5997343997,1354641.2495505996,48123.2792717
658,601,3,1354641.2495505996,1361443.2542343996,45133.6294555
659,1488,4,3838.0837369,6968.1045534,19421.689849899998
660,1518,4,6968.1045534,11296.568639100002,23397.26506
661,1522,4,11296.568639100002,15614.407143000002,15544.535149199999
662,945,4,469181.6781872,475427.7805625,12145.0742651
663,345,4,475427.7805625,482726.2934146,565911.6022196001
664,1380,4,475938.4629767,483185.67523329996,198180.33275999993
665,499,4,482446.48339119996,482957.16580539994,47617.9251989
666,288,4,482957.16580539994,486978.64476909995,752900.8101108999
667,816,4,484334.65920329996,487404.2074273,744159.1086376002
668,289,4,487404.2074273,493433.7099074,748879.3311471998
669,1018,4,493555.4900604,494890.5931538,12852.7966136
670,1376,4,495016.5839577,498036.4618186,33883.9542116
671,1383,4,504019.1812471,509462.0083443,25668.3313829
672,495,4,509462.0083443,511565.7906899,21132.574111500002
673,819,4,511565.7906899,519470.9454492,723995.1963778001
674,355,4,519470.9454492,522835.7358585,532201.7279679
675,438,4,522835.7358585,529462.0296704,718008.9059168999
676,262,4,530754.0698511001,534943.3664843001,109124.807948
677,372,4,544748.3659518999,551235.2122228999,48518.4226422
678,910,4,551235.2122228999,555235.5889033999,510055.5030093
679,434,4,555235.5889033999,557608.6269277999,35958.1040877
680,1286,4,557608.6269277999,563502.6039253,684278.859514
681,1290,4,563502.6039253,566021.5924656,678384.8825165
682,408,4,564304.9839988999,568122.1064594999,501727.95954179997
683,266,4,568122.1064594999,575569.1437841,78643.80484699999
684,267,4,575569.1437841,582952.0503269,71196.7675224
685,268,4,582952.0503269,583561.0257308,63813.860979599995
686,1080,4,593808.9383828,600778.7958352,53499.2012976
687,1083,4,600778.7958352,602243.110826,46529.3438452
688,1190,4,602243.110826,605905.7728790999,60413.8861721
689,451,4,605905.7728790999,612284.0245398999,653491.9461390999
690,850,4,612284.0245398999,616149.1856083999,574044.1370903
691,1207,4,619699.2762351999,625369.2617201998,44086.8252613
692,1210,4,625369.2617201998,631739.2157934998,38416.8397763
693,832,4,631739.2157934998,635155.8293279998,511590.66084960004
694,1337,4,637198.9034222999,640762.3759862,34874.388147
695,1090,4,640762.3759862,644866.9603307999,11983.6235466
696,1095,4,644866.9603307999,652745.9995327999,7879.039202
697,461,4,652745.9995327999,657233.7959583999,618586.5809455
698,1347,4,657674.3406912002,664603.4238437002,41122.9734345
699,1204,4,661331.6200981003,665794.7174990003,14811.0044202
700,1348,4,665794.7174990003,668656.2980947002,34193.890282
701,1353,4,668656.2980947002,671789.3085288003,31332.3096863
702,360,4,673576.4034075002,679223.8082156002,37348.4017492
703,839,4,679223.8082156002,685326.1830756002,19359.977926800002
704,320,4,685326.1830756002,691220.4046779001,10394.6772602
705,368,4,691220.4046779001,693248.2622723001,24322.6150052
706,733,4,693248.2622723001,699782.1236818001,142518.6196577
